#{"t_start": 1777335602.488024, "env_id": "MountainCarContinuous-v0"}
r,l,t
31.0,69,249.880511
28.0,72,250.592589
29.0,71,251.259093
30.0,70,252.005088
27.0,73,252.71159
28.0,72,253.374848
27.0,73,254.036201
32.0,68,254.626483
26.0,74,255.342272
29.0,71,255.918243
30.0,70,256.557847
30.0,70,257.220145
29.0,71,257.864891
32.0,68,258.439019
29.0,71,259.078708
32.0,68,259.732782
27.0,73,260.43781
31.0,69,261.058858
31.0,69,261.806876
25.0,75,262.519877
29.0,71,263.224663
26.0,74,263.992577
31.0,69,264.603027
25.0,75,265.361178
25.0,75,266.044652
31.0,69,266.731708
30.0,70,267.336363
28.0,72,268.023119
31.0,69,268.715216
25.0,75,269.417746
29.0,71,270.116213
28.0,72,270.797575
32.0,68,271.495439
24.0,76,272.326834
31.0,69,273.05395
30.0,70,273.991095
27.0,73,274.7734
25.0,75,275.579582
30.0,70,276.30704
30.0,70,276.973929
26.0,74,277.633574
29.0,71,278.363327
30.0,70,278.917278
25.0,78,279.676928
30.0,70,280.359731
29.0,71,281.032141
26.0,74,281.75997
30.0,70,282.403858
30.0,70,282.99932
26.0,74,283.640638
30.0,70,284.251413
29.0,71,284.848855
28.0,72,285.537814
26.0,75,286.334401
30.0,70,287.071841
26.0,74,287.722471
33.0,67,288.310717
28.0,72,288.980923
30.0,70,289.622119
30.0,70,290.323837
31.0,69,290.912903
21.0,79,291.618881
23.0,77,292.318016
29.0,71,292.944505
24.0,76,293.570165
30.0,70,294.226982
26.0,74,294.859591
27.0,73,295.481508
27.0,73,296.107224
31.0,69,296.738036
28.0,72,297.373789
30.0,70,297.995923
31.0,69,298.556857
28.0,72,299.177914
32.0,68,299.792413
30.0,71,300.417078
21.0,82,301.137197
23.0,77,301.840336
27.0,73,302.461872
30.0,70,303.07864
29.0,71,303.62722
32.0,68,304.251584
31.0,69,304.870682
28.0,72,305.468965
30.0,71,306.00345
27.0,73,306.682525
26.0,74,307.298175
30.0,70,307.938956
26.0,74,308.568351
30.0,70,309.209441
28.0,72,309.829867
28.0,72,310.451885
28.0,72,311.092942
30.0,70,311.702289
30.0,70,312.356396
30.0,70,312.9872
30.0,70,313.629076
30.0,70,314.199908
30.0,71,314.864029
29.0,71,315.519291
32.0,68,316.158505
30.0,70,316.783211
33.0,67,317.438669
28.0,72,318.12105
31.0,69,318.700362
26.0,74,319.428595
28.0,72,320.097246
24.0,76,320.743128
31.0,69,321.39559
26.0,74,322.047251
26.0,74,322.724293
32.0,68,323.444467
30.0,70,324.044255
25.0,75,324.776629
29.0,71,325.437825
30.0,70,326.012009
33.0,68,326.641955
32.0,69,327.274072
30.0,70,327.839175
31.0,70,328.475132
31.0,69,329.129406
27.0,73,329.78766
28.0,72,330.411177
28.0,72,331.032485
30.0,70,331.742409
27.0,73,332.443793
31.0,70,333.020403
27.0,73,333.829865
33.0,67,334.415781
26.0,74,335.074463
29.0,71,335.747607
25.0,75,336.424496
29.0,71,337.091261
27.0,73,337.762147
28.0,72,338.443854
30.0,70,339.103048
20.0,80,339.867387
27.0,73,340.543032
28.0,72,341.182593
31.0,69,341.86369
24.0,76,342.597593
22.0,78,343.307522
28.0,72,343.946808
27.0,73,344.597304
26.0,75,345.29263
32.0,68,345.856978
31.0,69,346.482756
30.0,71,347.105516
31.0,69,347.668632
27.0,74,348.373615
29.0,71,348.943607
23.0,77,349.658301
28.0,72,350.312408
30.0,70,350.995278
28.0,72,351.640949
29.0,72,352.33596
27.0,73,353.009747
31.0,69,353.695773
29.0,71,354.336529
27.0,73,355.090379
28.0,72,355.779233
31.0,69,356.348918
25.0,75,357.097466
26.0,74,357.745466
31.0,69,358.325324
27.0,73,359.044194
28.0,72,359.698688
30.0,70,360.315607
29.0,71,360.972599
27.0,73,361.635849
25.0,75,362.412832
26.0,74,363.145101
30.0,71,363.868911
29.0,71,364.605872
31.0,69,365.278932
29.0,71,366.014383
28.0,72,366.714525
30.0,70,367.408177
30.0,70,368.09428
29.0,71,368.773962
30.0,70,369.370104
31.0,69,370.053916
28.0,72,370.788358
25.0,75,371.517746
30.0,70,372.240338
28.0,72,372.948384
30.0,70,373.609554
27.0,73,374.262371
25.0,75,374.925049
29.0,71,375.592124
27.0,73,376.264089
31.0,69,376.93189
31.0,70,377.60238
26.0,74,378.262955
29.0,71,378.917671
30.0,71,379.56875
27.0,73,380.247292
31.0,69,380.786031
28.0,72,381.399104
-33.0,133,382.547541
28.0,72,383.149805
31.0,69,383.754589
28.0,73,384.351711
27.0,73,384.981437
27.0,73,385.609004
30.0,70,386.245934
29.0,72,386.878372
29.0,71,387.500149
29.0,71,388.126701
32.0,69,388.682926
26.0,74,389.302706
30.0,71,389.923534
30.0,70,390.605051
27.0,73,391.242055
28.0,72,391.885312
29.0,71,392.528984
30.0,71,393.164432
27.0,73,393.804285
30.0,70,394.44295
30.0,71,395.083651
28.0,73,395.712432
28.0,72,396.361732
27.0,73,397.024642
28.0,72,397.652434
29.0,71,398.282526
27.0,73,398.91438
31.0,69,399.545695
25.0,75,400.162812
29.0,71,400.780612
28.0,72,401.395553
24.0,76,402.042867
28.0,73,402.65389
31.0,69,403.282433
29.0,71,403.893742
32.0,68,404.427224
30.0,70,405.034798
26.0,74,405.650923
29.0,71,406.274509
