#{"t_start": 1777334239.2332623, "env_id": "MountainCarContinuous-v0"}
r,l,t
-11.0,111,98.543157
-1.0,101,98.806085
-1.0,101,99.087161
-2.0,102,99.36558
28.0,73,99.564096
24.0,77,99.775799
0.0,100,100.033833
0.0,100,100.327363
1.0,99,100.589895
0.0,100,100.855304
0.0,100,101.137615
0.0,100,101.400254
-2.0,102,101.686662
-1.0,101,101.962386
0.0,100,102.231317
0.0,100,102.504422
27.0,73,102.694049
-1.0,101,102.970317
27.0,74,103.167711
-1.0,101,103.436388
27.0,73,103.647702
28.0,72,103.843378
28.0,72,104.036305
28.0,72,104.254843
28.0,72,104.466116
27.0,73,104.665976
28.0,72,104.864291
1.0,99,105.13024
20.0,81,105.359321
15.0,86,105.614626
28.0,72,105.833985
-6.0,106,106.138235
-5.0,105,106.425328
26.0,74,106.653809
-2.0,102,106.94112
0.0,100,107.250129
26.0,74,107.457735
26.0,74,107.691217
-2.0,103,108.000815
24.0,77,108.241431
24.0,76,108.435658
21.0,79,108.667517
29.0,72,108.884999
29.0,71,109.080153
23.0,77,109.291722
29.0,71,109.492487
28.0,72,109.685662
30.0,70,109.858429
28.0,72,110.050392
30.0,70,110.261217
30.0,70,110.45789
30.0,70,110.662108
30.0,70,110.85172
31.0,69,111.05705
30.0,70,111.252538
31.0,70,111.431988
30.0,70,111.63744
29.0,71,111.832684
31.0,69,112.030707
30.0,70,112.2054
27.0,73,112.432348
30.0,70,112.611066
24.0,76,112.831802
30.0,70,113.05063
26.0,74,113.254556
29.0,71,113.452045
26.0,74,113.67436
30.0,70,113.875674
30.0,70,114.059999
30.0,70,114.289293
29.0,71,114.543955
30.0,70,114.747712
29.0,71,114.955498
30.0,71,115.155657
30.0,70,115.327563
-47.0,147,115.729036
31.0,69,115.90057
29.0,72,116.095801
31.0,69,116.289373
32.0,68,116.463422
31.0,69,116.659736
31.0,69,116.85213
30.0,70,117.030914
30.0,70,117.223452
31.0,69,117.423744
31.0,69,117.610683
30.0,70,117.814312
27.0,73,118.010594
28.0,73,118.201108
-42.0,142,118.582195
31.0,69,118.773801
31.0,69,118.950787
30.0,70,119.148465
31.0,69,119.357423
30.0,70,119.561591
30.0,70,119.738531
31.0,69,119.933183
29.0,71,120.136141
30.0,70,120.32102
30.0,70,120.492065
29.0,72,120.680262
27.0,73,120.869426
29.0,71,121.061471
30.0,70,121.254379
30.0,70,121.443258
30.0,70,121.63782
31.0,69,121.825076
30.0,70,122.036762
31.0,69,122.251103
31.0,69,122.428985
31.0,69,122.6294
29.0,71,122.823344
31.0,69,122.998971
31.0,69,123.193472
-3.0,103,123.477113
31.0,69,123.652082
33.0,68,123.850848
-17.0,117,124.178401
31.0,69,124.35657
32.0,68,124.553431
2.0,98,124.817163
31.0,69,125.011637
31.0,69,125.185993
26.0,74,125.381698
31.0,69,125.571178
28.0,72,125.762763
-46.0,146,126.139332
33.0,68,126.325408
33.0,67,126.499567
2.0,98,126.760038
32.0,68,126.952501
32.0,68,127.122161
-46.0,147,127.520038
32.0,68,127.695475
-5.0,105,127.982395
30.0,70,128.173834
31.0,69,128.364367
32.0,68,128.538416
2.0,99,128.82205
31.0,69,129.000919
4.0,96,129.266144
-45.0,145,129.656164
-44.0,144,130.055267
31.0,69,130.270875
-43.0,143,130.676124
31.0,69,130.8693
31.0,69,131.039666
-4.0,104,131.317266
2.0,98,131.584852
-4.0,105,131.879972
31.0,69,132.046032
31.0,69,132.239337
-42.0,142,132.597943
33.0,68,132.769634
0.0,100,133.036484
32.0,68,133.197101
31.0,69,133.380706
32.0,68,133.551567
32.0,68,133.739692
32.0,68,133.91082
2.0,98,134.175312
-40.0,140,134.550173
0.0,100,134.803286
31.0,69,134.99099
32.0,68,135.181536
33.0,68,135.349985
31.0,69,135.536203
-43.0,143,135.906726
32.0,69,136.080092
28.0,72,136.269106
29.0,71,136.454779
31.0,69,136.643996
30.0,70,136.818493
30.0,70,137.012946
-47.0,147,137.402458
31.0,69,137.572387
-46.0,146,137.93212
31.0,69,138.108464
30.0,70,138.285728
-46.0,146,138.661998
-44.0,144,139.01574
25.0,75,139.197005
30.0,70,139.379925
30.0,70,139.571743
31.0,69,139.754299
31.0,69,139.918407
31.0,69,140.105808
-43.0,143,140.471397
31.0,69,140.626364
29.0,71,140.827575
31.0,69,141.008217
32.0,68,141.17489
32.0,69,141.367621
31.0,69,141.56009
-39.0,139,141.915392
32.0,69,142.095219
29.0,71,142.267171
30.0,70,142.453154
-44.0,144,142.824502
-40.0,140,143.204857
-45.0,145,143.580214
28.0,72,143.771329
31.0,69,143.920742
32.0,68,144.104019
32.0,68,144.269746
31.0,69,144.459201
30.0,70,144.650439
-3.0,103,144.927078
31.0,69,145.100609
24.0,76,145.31056
4.0,96,145.563334
28.0,73,145.751512
30.0,70,145.930325
3.0,97,146.169229
32.0,68,146.339255
32.0,69,146.529109
32.0,68,146.701112
32.0,68,146.890456
33.0,68,147.0564
-29.0,129,147.386238
33.0,67,147.555681
30.0,70,147.741116
26.0,74,147.927685
32.0,68,148.093232
-38.0,138,148.449779
31.0,70,148.621839
32.0,68,148.807213
32.0,68,148.979795
32.0,68,149.176532
29.0,71,149.364619
29.0,71,149.540853
32.0,68,149.699732
3.0,97,149.939781
32.0,68,150.12237
30.0,70,150.305377
5.0,96,150.55582
4.0,96,150.772787
33.0,67,150.920653
5.0,95,151.145834
-45.0,145,151.510119
-41.0,141,151.87968
5.0,95,152.115095
-41.0,141,152.490999
33.0,67,152.660645
6.0,94,152.909733
33.0,67,153.095863
33.0,67,153.263573
-42.0,142,153.629289
5.0,95,153.865623
33.0,68,154.030453
5.0,95,154.251747
23.0,77,154.448281
32.0,68,154.613814
31.0,69,154.789067
32.0,68,154.94176
23.0,77,155.148668
32.0,68,155.312688
33.0,68,155.496766
30.0,70,155.685044
32.0,68,155.845887
5.0,95,156.070492
1.0,100,156.298515
31.0,69,156.4682
-7.0,107,156.720289
-44.0,144,157.087567
32.0,68,157.271891
31.0,69,157.452815
32.0,68,157.622002
32.0,68,157.806968
31.0,69,157.979979
2.0,98,158.245879
31.0,70,158.434899
29.0,71,158.624163
3.0,97,158.877381
32.0,68,159.066312
31.0,69,159.237665
31.0,69,159.428476
-41.0,141,159.807583
-38.0,138,160.149185
32.0,68,160.317012
4.0,96,160.559823
-35.0,136,160.914537
-44.0,144,161.294041
30.0,70,161.477373
32.0,68,161.662673
30.0,70,161.82871
3.0,97,162.066782
-40.0,140,162.414734
32.0,68,162.575227
33.0,68,162.756329
33.0,68,162.927419
32.0,68,163.110844
33.0,68,163.281468
4.0,96,163.515433
28.0,72,163.691907
31.0,69,163.861394
24.0,76,164.059662
32.0,68,164.2216
30.0,70,164.405473
32.0,68,164.574233
31.0,69,164.76914
31.0,69,164.947947
31.0,69,165.107261
32.0,68,165.287101
31.0,69,165.457953
-46.0,146,165.856329
31.0,69,166.027174
31.0,69,166.216332
0.0,100,166.470407
30.0,70,166.658671
31.0,69,166.841207
32.0,68,167.008967
-2.0,102,167.259586
29.0,71,167.422245
-44.0,144,167.791531
3.0,98,168.044514
31.0,69,168.231083
31.0,69,168.400849
30.0,70,168.599724
31.0,69,168.787212
4.0,97,169.042228
29.0,71,169.230736
31.0,69,169.3904
31.0,69,169.578356
